Cardinality,MIP_mean_entropy,MIP_std_entropy,TOPK_mean_entropy,TOPK_std_entropy,BP_mean_entropy,BP_std_entropy,RND_mean_entropy,RND_std_entropy,SB_mean_entropy,SB_std_entropy,SF_mean_entropy,SF_std_entropy,ICARUS_mean_entropy,ICARUS_std_entropy
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.461607397766334,0.461607397766334,0.461607397766334,0.461607397766334,NA,NA,0.45868776190086125,0.26835425047441636,0.3223258731393666,0.06168756321321351,0.954515550391991,0.04774963557078537,NA,NA
3,0.4944751171239891,0.4944751171239891,0.4944751171239891,0.4944751171239891,NA,NA,0.4597406945887266,0.20043071169233523,0.4254838174739655,0.08885120098459408,0.8835697395462639,0.03810860532637897,NA,NA
4,0.5922657318994363,0.5922657318994363,0.5922657318994363,0.5922657318994363,NA,NA,0.4855203559229425,0.16764180740153659,0.4903806944943005,0.09348024438744718,0.9152280899994178,0.0327050714651687,NA,NA
5,0.7203394334649196,0.7203394334649196,0.7203394334649196,0.7203394334649196,NA,NA,0.5371132753469825,0.17211801851644204,0.5284316581039563,0.09366507588510067,0.9488717239786455,0.0395387784200459,NA,NA
6,0.8174868119971772,0.8174868119971772,0.8174868119971772,0.8174868119971772,NA,NA,0.5609941822623734,0.15970677656031218,0.5971178133400272,0.08710456769090086,1.0200700444022033,0.040011746396848444,NA,NA
7,0.760319664333184,0.760319664333184,0.760319664333184,0.760319664333184,NA,NA,0.6162801733250118,0.13966598856364626,0.5874145726454081,0.07606481666338855,1.066259737612028,0.040294589512331065,NA,NA
8,0.8616475738885876,0.8616475738885876,0.8616475738885876,0.8616475738885876,NA,NA,0.6427991806440068,0.14110551935815702,0.5981877292044443,0.08838293108220713,1.093099443979987,0.04901973404819412,NA,NA
9,0.815458637188456,0.815458637188456,0.815458637188456,0.815458637188456,NA,NA,0.6984187341982233,0.1332020265317658,0.6154722399343352,0.06922799122545334,1.0789227964457233,0.058051129396380685,NA,NA
10,0.7781452962946843,0.7781452962946843,0.7781452962946843,0.7781452962946843,NA,NA,0.7291305061933954,0.13190735836196327,0.6327596316687445,0.0694867755055105,1.086832625942042,0.06555633967217636,1.1357177213391985,0.05751311265036713
11,0.8464432855687102,0.8464432855687102,0.8464432855687102,0.8464432855687102,NA,NA,0.7800815001842407,0.12047880486916432,0.673818022818734,0.07405297736532085,1.0999573501850897,0.06949974949537717,1.2696908893388026,0.045379455786776435
12,0.8276621463938268,0.8276621463938268,0.8276621463938268,0.8276621463938268,NA,NA,0.8091032459255243,0.11298773164907115,0.6854297704046559,0.07965259506815138,1.1157124037784696,0.06964177249555221,1.1821220499834264,0.05458143445417281
13,0.8563308209107735,0.8563308209107735,0.8563308209107735,0.8563308209107735,1.1365461340855771,0.08091971236636897,0.8684551941721904,0.10354283249904278,0.6995181871719937,0.08333703305756975,1.1365461340855771,0.08091971236636897,0.9308277399512502,0.10631527770803932
14,0.9038172000394409,0.9038172000394409,0.832283999374054,0.832283999374054,NA,NA,0.8991368127730193,0.09348884512887906,0.7518875682647108,0.08446529397547088,1.104630522283194,0.0786473874253991,NA,NA
15,0.8807906904479137,0.8807906904479137,0.8110799378739798,0.8110799378739798,NA,NA,0.9352449708219323,0.07997819934279234,0.7678047027808576,0.07941528555499994,1.0819434920899698,0.08429287944992453,NA,NA
16,0.8779328948729943,0.8779328948729943,0.7922001453916482,0.7922001453916482,NA,NA,0.9785202703405683,0.06880293342472572,0.8555527686363106,0.0806810367328649,1.0567587135565357,0.08233076449991819,NA,NA
17,0.920003361270472,0.920003361270472,0.7752487801448169,0.7752487801448169,NA,NA,1.009538303582589,0.0493583661424671,0.9146937985686575,0.08091202508013907,1.0341463686390622,0.08056906467165192,1.1899995620352057,0.060388062548044144
18,1.013675353232936,1.013675353232936,0.759917883528014,0.759917883528014,NA,NA,1.0487360921739701,3.064978406502581e-16,1.013695654661433,0.07897577483666132,1.013695654661433,0.07897577483666132,1.0081410610489572,0.08289563008972986
